register number,name,units,interpretation,decode,defaults
5 - 6,Temperature,deg C,IEEE-754 float32; low 16-bit word first.,,
7 - 8,Dew/frost point,deg C,IEEE-754 float32; low 16-bit word first.,,
11 - 12,Atmospheric dew point,deg C,IEEE-754 float32; low 16-bit word first.,,
21 - 22,Moisture,ppmv,IEEE-754 float32; low 16-bit word first.,,
45 - 46,Absolute pressure,bara,IEEE-754 float32; low 16-bit word first.,,
513,Fault status,,,0 = one or more errors active; 1 = no errors,1 (no errors)
514,Online status,,,0 = online data unavailable; 1 = online data available,1 (online data available)
516 - 517,Error code,,Unsigned 32-bit value; low 16-bit word first. value = (second register << 16) | first register.,,0 = no errors
